device_id,timestamp,power,energy,created_at
1c6ca16a-902b-4b67-be7e-472c248fad05,1638499011,117.0,27948.0,2021-12-03 03:47:04 UTC
1c6ca16a-902b-4b67-be7e-472c248fad05,1638498951,120.0,27943.0,2021-12-03 02:35:52 UTC
1c6ca16a-902b-4b67-be7e-472c248fad05,1638498891,117.0,27937.0,2021-12-03 02:35:52 UTC
1c6ca16a-902b-4b67-be7e-472c248fad05,1638498831,131.0,27931.0,2021-12-03 02:35:52 UTC
1c6ca16a-902b-4b67-be7e-472c248fad05,1638498771,110.0,27924.0,2021-12-03 02:35:52 UTC
1c6ca16a-902b-4b67-be7e-472c248fad05,1638498711,113.0,27919.0,2021-12-03 02:35:52 UTC
1c6ca16a-902b-4b67-be7e-472c248fad05,1638498651,117.0,27913.0,2021-12-03 02:35:52 UTC
1c6ca16a-902b-4b67-be7e-472c248fad05,1638498591,124.0,27907.0,2021-12-03 02:35:52 UTC
1c6ca16a-902b-4b67-be7e-472c248fad05,1638498531,124.0,27901.0,2021-12-03 02:35:52 UTC
1c6ca16a-902b-4b67-be7e-472c248fad05,1638498471,117.0,27895.0,2021-12-03 02:35:52 UTC
1c6ca16a-902b-4b67-be7e-472c248fad05,1638498411,120.0,27889.0,2021-12-03 02:35:52 UTC
1c6ca16a-902b-4b67-be7e-472c248fad05,1638498351,120.0,27883.0,2021-12-03 02:35:52 UTC
1c6ca16a-902b-4b67-be7e-472c248fad05,1638498291,127.0,27877.0,2021-12-03 02:35:52 UTC
1c6ca16a-902b-4b67-be7e-472c248fad05,1638498231,120.0,27870.0,2021-12-03 02:23:52 UTC
1c6ca16a-902b-4b67-be7e-472c248fad05,1638498171,131.0,27864.0,2021-12-03 02:23:52 UTC
1c6ca16a-902b-4b67-be7e-472c248fad05,1638498111,131.0,27858.0,2021-12-03 02:23:52 UTC
1c6ca16a-902b-4b67-be7e-472c248fad05,1638498051,127.0,27851.0,2021-12-03 02:23:52 UTC
1c6ca16a-902b-4b67-be7e-472c248fad05,1638497991,117.0,27845.0,2021-12-03 02:23:52 UTC
1c6ca16a-902b-4b67-be7e-472c248fad05,1638497931,124.0,27839.0,2021-12-03 02:23:52 UTC
1c6ca16a-902b-4b67-be7e-472c248fad05,1638497871,127.0,27833.0,2021-12-03 02:23:52 UTC
1c6ca16a-902b-4b67-be7e-472c248fad05,1638497811,134.0,27826.0,2021-12-03 02:23:52 UTC
1c6ca16a-902b-4b67-be7e-472c248fad05,1638497751,120.0,27819.0,2021-12-03 02:23:52 UTC
1c6ca16a-902b-4b67-be7e-472c248fad05,1638497691,127.0,27813.0,2021-12-03 02:23:52 UTC
1c6ca16a-902b-4b67-be7e-472c248fad05,1638497631,127.0,27807.0,2021-12-03 02:23:52 UTC
1c6ca16a-902b-4b67-be7e-472c248fad05,1638497571,124.0,27801.0,2021-12-03 02:23:52 UTC
1c6ca16a-902b-4b67-be7e-472c248fad05,1638497511,127.0,27794.0,2021-12-03 02:11:52 UTC
1c6ca16a-902b-4b67-be7e-472c248fad05,1638497451,127.0,27788.0,2021-12-03 02:11:52 UTC
