device_id,timestamp,sdk_timestamp,temperature,humidity,created_at
34b1104a-60eb-40b7-8ebc-4bd108bd3a84,1639448556,1639448557,25.3,73,2021-12-14 02:23:08 UTC
34b1104a-60eb-40b7-8ebc-4bd108bd3a84,1639448496,1639448497,25.3,73,2021-12-14 02:23:08 UTC
34b1104a-60eb-40b7-8ebc-4bd108bd3a84,1639448436,1639448437,25.3,73,2021-12-14 02:21:12 UTC
34b1104a-60eb-40b7-8ebc-4bd108bd3a84,1639448316,1639448317,25.2,73,2021-12-14 02:18:46 UTC
34b1104a-60eb-40b7-8ebc-4bd108bd3a84,1639448256,1639448257,25.0,73,2021-12-14 02:17:41 UTC
34b1104a-60eb-40b7-8ebc-4bd108bd3a84,1639448196,1639448197,25.0,73,2021-12-14 02:17:41 UTC
34b1104a-60eb-40b7-8ebc-4bd108bd3a84,1639448136,1639448137,25.1,72,2021-12-14 02:17:41 UTC
34b1104a-60eb-40b7-8ebc-4bd108bd3a84,1639448076,1639448077,25.1,73,2021-12-14 02:17:41 UTC
34b1104a-60eb-40b7-8ebc-4bd108bd3a84,1639448016,1639448017,25.2,72,2021-12-14 02:17:41 UTC
34b1104a-60eb-40b7-8ebc-4bd108bd3a84,1639447956,1639447957,25.0,73,2021-12-14 02:17:41 UTC
34b1104a-60eb-40b7-8ebc-4bd108bd3a84,1639447896,1639447897,25.1,73,2021-12-14 02:17:41 UTC
34b1104a-60eb-40b7-8ebc-4bd108bd3a84,1639447836,1639447837,25.0,73,2021-12-14 02:17:41 UTC
34b1104a-60eb-40b7-8ebc-4bd108bd3a84,1639447776,1639447777,25.2,73,2021-12-14 02:17:41 UTC
34b1104a-60eb-40b7-8ebc-4bd108bd3a84,1639447716,1639447717,25.0,73,2021-12-14 02:17:41 UTC
34b1104a-60eb-40b7-8ebc-4bd108bd3a84,1639447656,1639447657,24.8,74,2021-12-14 02:17:41 UTC
34b1104a-60eb-40b7-8ebc-4bd108bd3a84,1639447596,1639447597,24.8,74,2021-12-14 02:17:41 UTC
34b1104a-60eb-40b7-8ebc-4bd108bd3a84,1639447536,1639447537,24.9,74,2021-12-14 02:05:41 UTC
